Handle,Title,"Body (HTML)",Vendor,"Product Category",Type,Tags,Published,"Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Qty","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Variant Image"
yet-another-phone,"Yet another phone","Lorem ipsum dolor sit amet consectetur adipisicing elit. Ab ducimus asperiores dolorem sequi nobis animi eveniet possimus vero quam, deleniti modi pariatur reiciendis harum, cumque eaque. Repellendus unde sit consequuntur.",,Smartphones,,,TRUE,,,,,,,0022,0,54,124.00,236.00,TRUE,TRUE,4012345678901,images/mika-baumeister-C4wFBBXRyyE-unsplash.jpg,
nice-amplifier,"Nice amplifier","Lorem ipsum dolor sit amet consectetur adipisicing elit. Ab ducimus asperiores dolorem sequi nobis animi eveniet possimus vero quam, deleniti modi pariatur reiciendis harum, cumque eaque. Repellendus unde sit consequuntur.Lorem ipsum dolor sit amet consectetur adipisicing elit. Ab ducimus asperiores dolorem sequi nobis animi eveniet possimus vero quam, deleniti modi pariatur reiciendis harum, cumque eaque. Repellendus unde sit consequuntur.",,Amplifiers,,,TRUE,,,,,,,0035,2000,9,1145.00,,TRUE,TRUE,,images/andrey-matveev-e1qeHVogHkU-unsplash.jpg,
a-nice-program,"A nice program","Lorem ipsum dolor sit amet consectetur adipisicing elit. Iusto temporibus quia quis quod optio fugit harum blanditiis ipsa cum, totam ducimus consequuntur iste maiores accusantium vitae eos beatae. Magni, fuga?",,Games,Digital,,TRUE,,,,,,,456456,0,42,4564.00,,FALSE,TRUE,9780201379624,images/Program.jpg,
tytyud,tyty,rtyrty,,"MS Office",Digital,,TRUE,,,,,,,43234,0,345,1234.00,,FALSE,TRUE,5901234123457,images/powered_by.png,
chaz-kangeroo-hoodie,"Chaz Kangeroo Hoodie",,,"Clothing,Eco Friendly,Hoodies & Sweatshirts",,,TRUE,Size,L,Color,Black,,,MH01-L-Black,0,100,52.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mh01-black_main.jpg,
chaz-kangeroo-hoodie,"Chaz Kangeroo Hoodie",,,"Clothing,Eco Friendly,Hoodies & Sweatshirts",,,TRUE,Size,L,Color,Gray,,,MH01-L-Gray,0,100,52.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mh01-black_main.jpg,
chaz-kangeroo-hoodie,"Chaz Kangeroo Hoodie",,,"Clothing,Eco Friendly,Hoodies & Sweatshirts",,,TRUE,Size,L,Color,Orange,,,MH01-L-Orange,0,100,52.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mh01-black_main.jpg,
chaz-kangeroo-hoodie,"Chaz Kangeroo Hoodie",,,"Clothing,Eco Friendly,Hoodies & Sweatshirts",,,TRUE,Size,M,Color,Black,,,MH01-M-Black,0,100,52.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mh01-black_main.jpg,
chaz-kangeroo-hoodie,"Chaz Kangeroo Hoodie",,,"Clothing,Eco Friendly,Hoodies & Sweatshirts",,,TRUE,Size,M,Color,Gray,,,MH01-M-Gray,0,100,52.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mh01-black_main.jpg,
chaz-kangeroo-hoodie,"Chaz Kangeroo Hoodie",,,"Clothing,Eco Friendly,Hoodies & Sweatshirts",,,TRUE,Size,M,Color,Orange,,,MH01-M-Orange,0,100,52.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mh01-black_main.jpg,
chaz-kangeroo-hoodie,"Chaz Kangeroo Hoodie",,,"Clothing,Eco Friendly,Hoodies & Sweatshirts",,,TRUE,Size,S,Color,Black,,,MH01-S-Black,0,100,52.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mh01-black_main.jpg,
chaz-kangeroo-hoodie,"Chaz Kangeroo Hoodie",,,"Clothing,Eco Friendly,Hoodies & Sweatshirts",,,TRUE,Size,S,Color,Gray,,,MH01-S-Gray,0,100,52.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mh01-black_main.jpg,
chaz-kangeroo-hoodie,"Chaz Kangeroo Hoodie",,,"Clothing,Eco Friendly,Hoodies & Sweatshirts",,,TRUE,Size,S,Color,Orange,,,MH01-S-Orange,0,100,52.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mh01-black_main.jpg,
chaz-kangeroo-hoodie,"Chaz Kangeroo Hoodie",,,"Clothing,Eco Friendly,Hoodies & Sweatshirts",,,TRUE,Size,XL,Color,Black,,,MH01-XL-Black,0,100,52.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mh01-black_main.jpg,
chaz-kangeroo-hoodie,"Chaz Kangeroo Hoodie",,,"Clothing,Eco Friendly,Hoodies & Sweatshirts",,,TRUE,Size,XL,Color,Gray,,,MH01-XL-Gray,0,100,52.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mh01-black_main.jpg,
chaz-kangeroo-hoodie,"Chaz Kangeroo Hoodie",,,"Clothing,Eco Friendly,Hoodies & Sweatshirts",,,TRUE,Size,XL,Color,Orange,,,MH01-XL-Orange,0,100,52.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mh01-black_main.jpg,
chaz-kangeroo-hoodie,"Chaz Kangeroo Hoodie",,,"Clothing,Eco Friendly,Hoodies & Sweatshirts",,,TRUE,Size,XS,Color,Black,,,MH01-XS-Black,0,100,52.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mh01-black_main.jpg,
chaz-kangeroo-hoodie,"Chaz Kangeroo Hoodie",,,"Clothing,Eco Friendly,Hoodies & Sweatshirts",,,TRUE,Size,XS,Color,Gray,,,MH01-XS-Gray,0,100,52.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mh01-black_main.jpg,
chaz-kangeroo-hoodie,"Chaz Kangeroo Hoodie",,,"Clothing,Eco Friendly,Hoodies & Sweatshirts",,,TRUE,Size,XS,Color,Orange,,,MH01-XS-Orange,0,100,52.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mh01-black_main.jpg,
teton-pullover-hoodie,"Teton Pullover Hoodie",,,"Hoodies & Sweatshirts",,,TRUE,Size,L,Color,Black,,,MH02-L-Black,0,100,70.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mh02-black_main.jpg,
teton-pullover-hoodie,"Teton Pullover Hoodie",,,"Hoodies & Sweatshirts",,,TRUE,Size,L,Color,Purple,,,MH02-L-Purple,0,100,70.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mh02-black_main.jpg,
teton-pullover-hoodie,"Teton Pullover Hoodie",,,"Hoodies & Sweatshirts",,,TRUE,Size,L,Color,Red,,,MH02-L-Red,0,100,70.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mh02-black_main.jpg,
teton-pullover-hoodie,"Teton Pullover Hoodie",,,"Hoodies & Sweatshirts",,,TRUE,Size,M,Color,Black,,,MH02-M-Black,0,100,70.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mh02-black_main.jpg,
teton-pullover-hoodie,"Teton Pullover Hoodie",,,"Hoodies & Sweatshirts",,,TRUE,Size,M,Color,Purple,,,MH02-M-Purple,0,100,70.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mh02-black_main.jpg,
teton-pullover-hoodie,"Teton Pullover Hoodie",,,"Hoodies & Sweatshirts",,,TRUE,Size,M,Color,Red,,,MH02-M-Red,0,100,70.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mh02-black_main.jpg,
teton-pullover-hoodie,"Teton Pullover Hoodie",,,"Hoodies & Sweatshirts",,,TRUE,Size,S,Color,Black,,,MH02-S-Black,0,100,70.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mh02-black_main.jpg,
teton-pullover-hoodie,"Teton Pullover Hoodie",,,"Hoodies & Sweatshirts",,,TRUE,Size,S,Color,Purple,,,MH02-S-Purple,0,100,70.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mh02-black_main.jpg,
teton-pullover-hoodie,"Teton Pullover Hoodie",,,"Hoodies & Sweatshirts",,,TRUE,Size,S,Color,Red,,,MH02-S-Red,0,100,70.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mh02-black_main.jpg,
teton-pullover-hoodie,"Teton Pullover Hoodie",,,"Hoodies & Sweatshirts",,,TRUE,Size,XL,Color,Black,,,MH02-XL-Black,0,100,70.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mh02-black_main.jpg,
teton-pullover-hoodie,"Teton Pullover Hoodie",,,"Hoodies & Sweatshirts",,,TRUE,Size,XL,Color,Purple,,,MH02-XL-Purple,0,100,70.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mh02-black_main.jpg,
teton-pullover-hoodie,"Teton Pullover Hoodie",,,"Hoodies & Sweatshirts",,,TRUE,Size,XL,Color,Red,,,MH02-XL-Red,0,100,70.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mh02-black_main.jpg,
teton-pullover-hoodie,"Teton Pullover Hoodie",,,"Hoodies & Sweatshirts",,,TRUE,Size,XS,Color,Black,,,MH02-XS-Black,0,100,70.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mh02-black_main.jpg,
teton-pullover-hoodie,"Teton Pullover Hoodie",,,"Hoodies & Sweatshirts",,,TRUE,Size,XS,Color,Purple,,,MH02-XS-Purple,0,100,70.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mh02-black_main.jpg,
teton-pullover-hoodie,"Teton Pullover Hoodie",,,"Hoodies & Sweatshirts",,,TRUE,Size,XS,Color,Red,,,MH02-XS-Red,0,100,70.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mh02-black_main.jpg,
bruno-compete-hoodie,"Bruno Compete Hoodie",,,"Clothing,Eco Friendly,Hoodies & Sweatshirts",,,TRUE,Size,L,Color,Black,,,MH03-L-Black,0,100,63.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mh03-black_main.jpg,
bruno-compete-hoodie,"Bruno Compete Hoodie",,,"Clothing,Eco Friendly,Hoodies & Sweatshirts",,,TRUE,Size,L,Color,Blue,,,MH03-L-Blue,0,100,63.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mh03-black_main.jpg,
bruno-compete-hoodie,"Bruno Compete Hoodie",,,"Clothing,Eco Friendly,Hoodies & Sweatshirts",,,TRUE,Size,L,Color,Green,,,MH03-L-Green,0,100,63.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mh03-black_main.jpg,
bruno-compete-hoodie,"Bruno Compete Hoodie",,,"Clothing,Eco Friendly,Hoodies & Sweatshirts",,,TRUE,Size,M,Color,Black,,,MH03-M-Black,0,100,63.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mh03-black_main.jpg,
bruno-compete-hoodie,"Bruno Compete Hoodie",,,"Clothing,Eco Friendly,Hoodies & Sweatshirts",,,TRUE,Size,M,Color,Blue,,,MH03-M-Blue,0,100,63.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mh03-black_main.jpg,
bruno-compete-hoodie,"Bruno Compete Hoodie",,,"Clothing,Eco Friendly,Hoodies & Sweatshirts",,,TRUE,Size,M,Color,Green,,,MH03-M-Green,0,100,63.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mh03-black_main.jpg,
bruno-compete-hoodie,"Bruno Compete Hoodie",,,"Clothing,Eco Friendly,Hoodies & Sweatshirts",,,TRUE,Size,S,Color,Black,,,MH03-S-Black,0,100,63.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mh03-black_main.jpg,
bruno-compete-hoodie,"Bruno Compete Hoodie",,,"Clothing,Eco Friendly,Hoodies & Sweatshirts",,,TRUE,Size,S,Color,Blue,,,MH03-S-Blue,0,100,63.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mh03-black_main.jpg,
bruno-compete-hoodie,"Bruno Compete Hoodie",,,"Clothing,Eco Friendly,Hoodies & Sweatshirts",,,TRUE,Size,S,Color,Green,,,MH03-S-Green,0,100,63.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mh03-black_main.jpg,
bruno-compete-hoodie,"Bruno Compete Hoodie",,,"Clothing,Eco Friendly,Hoodies & Sweatshirts",,,TRUE,Size,XL,Color,Black,,,MH03-XL-Black,0,100,63.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mh03-black_main.jpg,
bruno-compete-hoodie,"Bruno Compete Hoodie",,,"Clothing,Eco Friendly,Hoodies & Sweatshirts",,,TRUE,Size,XL,Color,Blue,,,MH03-XL-Blue,0,100,63.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mh03-black_main.jpg,
bruno-compete-hoodie,"Bruno Compete Hoodie",,,"Clothing,Eco Friendly,Hoodies & Sweatshirts",,,TRUE,Size,XL,Color,Green,,,MH03-XL-Green,0,100,63.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mh03-black_main.jpg,
bruno-compete-hoodie,"Bruno Compete Hoodie",,,"Clothing,Eco Friendly,Hoodies & Sweatshirts",,,TRUE,Size,XS,Color,Black,,,MH03-XS-Black,0,100,63.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mh03-black_main.jpg,
bruno-compete-hoodie,"Bruno Compete Hoodie",,,"Clothing,Eco Friendly,Hoodies & Sweatshirts",,,TRUE,Size,XS,Color,Blue,,,MH03-XS-Blue,0,100,63.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mh03-black_main.jpg,
bruno-compete-hoodie,"Bruno Compete Hoodie",,,"Clothing,Eco Friendly,Hoodies & Sweatshirts",,,TRUE,Size,XS,Color,Green,,,MH03-XS-Green,0,100,63.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mh03-black_main.jpg,
frankie-sweatshirt,"Frankie  Sweatshirt",,,"Clothing,Eco Friendly,Hoodies & Sweatshirts",,,TRUE,Size,L,Color,Green,,,MH04-L-Green,0,100,60.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mh04-green_main.jpg,
frankie-sweatshirt-l-white,"Frankie  Sweatshirt-L-White",,,"Clothing,Eco Friendly,Hoodies & Sweatshirts",,,TRUE,Size,L,Color,White,,,MH04-L-White,0,100,60.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mh04-white_main.jpg,
frankie-sweatshirt-l-white,"Frankie  Sweatshirt-L-White",,,"Clothing,Eco Friendly,Hoodies & Sweatshirts",,,TRUE,Size,L,Color,Yellow,,,MH04-L-Yellow,0,100,60.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mh04-white_main.jpg,
frankie-sweatshirt-l-white,"Frankie  Sweatshirt-L-White",,,"Clothing,Eco Friendly,Hoodies & Sweatshirts",,,TRUE,Size,M,Color,Green,,,MH04-M-Green,0,100,60.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mh04-white_main.jpg,
frankie-sweatshirt-l-white,"Frankie  Sweatshirt-L-White",,,"Clothing,Eco Friendly,Hoodies & Sweatshirts",,,TRUE,Size,M,Color,White,,,MH04-M-White,0,100,60.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mh04-white_main.jpg,
frankie-sweatshirt-l-white,"Frankie  Sweatshirt-L-White",,,"Clothing,Eco Friendly,Hoodies & Sweatshirts",,,TRUE,Size,M,Color,Yellow,,,MH04-M-Yellow,0,100,60.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mh04-white_main.jpg,
frankie-sweatshirt-l-white,"Frankie  Sweatshirt-L-White",,,"Clothing,Eco Friendly,Hoodies & Sweatshirts",,,TRUE,Size,S,Color,Green,,,MH04-S-Green,0,100,60.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mh04-white_main.jpg,
frankie-sweatshirt-l-white,"Frankie  Sweatshirt-L-White",,,"Clothing,Eco Friendly,Hoodies & Sweatshirts",,,TRUE,Size,S,Color,White,,,MH04-S-White,0,100,60.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mh04-white_main.jpg,
frankie-sweatshirt-l-white,"Frankie  Sweatshirt-L-White",,,"Clothing,Eco Friendly,Hoodies & Sweatshirts",,,TRUE,Size,S,Color,Yellow,,,MH04-S-Yellow,0,100,60.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mh04-white_main.jpg,
frankie-sweatshirt-l-white,"Frankie  Sweatshirt-L-White",,,"Clothing,Eco Friendly,Hoodies & Sweatshirts",,,TRUE,Size,XL,Color,Green,,,MH04-XL-Green,0,100,60.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mh04-white_main.jpg,
frankie-sweatshirt-l-white,"Frankie  Sweatshirt-L-White",,,"Clothing,Eco Friendly,Hoodies & Sweatshirts",,,TRUE,Size,XL,Color,White,,,MH04-XL-White,0,100,60.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mh04-white_main.jpg,
frankie-sweatshirt-l-white,"Frankie  Sweatshirt-L-White",,,"Clothing,Eco Friendly,Hoodies & Sweatshirts",,,TRUE,Size,XL,Color,Yellow,,,MH04-XL-Yellow,0,100,60.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mh04-white_main.jpg,
frankie-sweatshirt-l-white,"Frankie  Sweatshirt-L-White",,,"Clothing,Eco Friendly,Hoodies & Sweatshirts",,,TRUE,Size,XS,Color,Green,,,MH04-XS-Green,0,100,60.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mh04-white_main.jpg,
frankie-sweatshirt-l-white,"Frankie  Sweatshirt-L-White",,,"Clothing,Eco Friendly,Hoodies & Sweatshirts",,,TRUE,Size,XS,Color,White,,,MH04-XS-White,0,100,60.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mh04-white_main.jpg,
frankie-sweatshirt-l-white,"Frankie  Sweatshirt-L-White",,,"Clothing,Eco Friendly,Hoodies & Sweatshirts",,,TRUE,Size,XS,Color,Yellow,,,MH04-XS-Yellow,0,100,60.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mh04-white_main.jpg,
hollister-backyard-sweatshirt,"Hollister Backyard Sweatshirt",,,"Hoodies & Sweatshirts",,,TRUE,Size,L,Color,Green,,,MH05-L-Green,0,100,52.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mh05-green_main.jpg,
hollister-backyard-sweatshirt,"Hollister Backyard Sweatshirt",,,"Hoodies & Sweatshirts",,,TRUE,Size,L,Color,Red,,,MH05-L-Red,0,100,52.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mh05-green_main.jpg,
hollister-backyard-sweatshirt,"Hollister Backyard Sweatshirt",,,"Hoodies & Sweatshirts",,,TRUE,Size,L,Color,White,,,MH05-L-White,0,100,52.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mh05-green_main.jpg,
hollister-backyard-sweatshirt,"Hollister Backyard Sweatshirt",,,"Hoodies & Sweatshirts",,,TRUE,Size,M,Color,Green,,,MH05-M-Green,0,100,52.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mh05-green_main.jpg,
